RANK,ID,CitationCount,CiteScore,SJR
6,7500153133,2326,8.71,4.151
10,7500153133,2326,8.71,4.151
6,7500153133,2326,8.71,4.151
1,5100155071,95,8.64,1.202
3,5100155071,95,8.64,1.202
6,19700176402,4363,8.62,7.041
2,26746,2182,8.59,5.006
3,26746,2182,8.59,5.006
3,21121,110280,8.56,6.321
1,3600148102,3636,8.56,3.982
3,3600148102,3636,8.56,3.982
1,3600148102,3636,8.56,3.982
5,3600148102,3636,8.56,3.982
1,3600148102,3636,8.56,3.982
3,3600148102,3636,8.56,3.982
5,3600148102,3636,8.56,3.982
6,15579,4249,8.55,3.331
5,15579,4249,8.55,3.331
8,15579,4249,8.55,3.331
8,29183,16895,8.55,4.753
6,29183,16895,8.55,4.753
7,24046,1781,8.52,4.528
12,21100232403,62684,8.46,3.037
16,21100232403,62684,8.46,3.037
6,21100232403,62684,8.46,3.037
15,29213,2878,8.46,3.066
1,29213,2878,8.46,3.066
9,29213,2878,8.46,3.066
13,19700200838,18145,8.44,4.475
4,21677,5153,8.43,7.143
13,21677,5153,8.43,7.143
2,24242,3500,8.43,3.781
3,24242,3500,8.43,3.781
3,24242,3500,8.43,3.781
4,24242,3500,8.43,3.781
3,20191,1992,8.41,10.346
1,20191,1992,8.41,10.346
1,20191,1992,8.41,10.346
2,20191,1992,8.41,10.346
1,22581,23803,8.41,8.534
2,22581,23803,8.41,8.534
10,14305,1907,8.4,6.009
14,14305,1907,8.4,6.009
7,21100201068,16863,8.4,8.012
1,12812,535,8.36,5.376
10,29263,18107,8.34,4.689
8,29263,18107,8.34,4.689
2,16339,2631,8.33,3.54
7,16339,2631,8.33,3.54
9,16339,2631,8.33,3.54
3,19700174891,75,8.33,2.256
3,19700174891,75,8.33,2.256
8,19700174891,75,8.33,2.256
4,19700174891,75,8.33,2.256
3,144912,5280,8.29,2.446
4,144912,5280,8.29,2.446
6,144912,5280,8.29,2.446
12,144912,5280,8.29,2.446
1,21100196101,522,8.29,2.668
7,20689,3728,8.27,2.655
9,20689,3728,8.27,2.655
1,22005,810,8.27,4.692
4,22005,810,8.27,4.692
4,22005,810,8.27,4.692
1,23239,1639,8.24,2.06
1,23239,1639,8.24,2.06
3,23239,1639,8.24,2.06
4,23239,1639,8.24,2.06
1,4700152228,1885,8.23,8.366
4,4700152228,1885,8.23,8.366
16,4700152228,1885,8.23,8.366
8,4700152228,1885,8.23,8.366
4,4700152228,1885,8.23,8.366
4,19700182323,1735,8.22,5.481
2,29431,993,8.21,24.769
2,8000153138,164,8.2,1.678
4,8000153138,164,8.2,1.678
17,19600166212,18729,8.18,4.583
3,28825,10134,8.17,3.757
13,28825,10134,8.17,3.757
2,23063,9563,8.14,5.735
5,23063,9563,8.14,5.735
1,26111,870,8.13,3.839
1,3200147828,14506,8.11,3.324
8,3200147828,14506,8.11,3.324
3,3200147828,14506,8.11,3.324
2,28711,11924,8.09,4.929
11,28711,11924,8.09,4.929
1,30867,3981,8.09,2.499
2,30867,3981,8.09,2.499
1,17600155041,6504,8.08,7.212
1,28475,1899,8.08,3.188
1,28475,1899,8.08,3.188
10,28475,1899,8.08,3.188
9,28475,1899,8.08,3.188
17,28475,1899,8.08,3.188
7,21100407195,2077,8.05,5.003
7,21100407195,2077,8.05,5.003
1,19136,10470,8.02,7.014
8,19136,10470,8.02,7.014
9,19136,10470,8.02,7.014
10,19136,10470,8.02,7.014
3,13363,2732,8.01,4.069
3,13363,2732,8.01,4.069
4,26533,2505,8,2.129
3,26533,2505,8,2.129
2,26533,2505,8,2.129
11,17378,757,7.97,5.245
18,17378,757,7.97,5.245
3,22401,26325,7.96,11.488
2,9500153903,1390,7.94,4.345
10,9500153903,1390,7.94,4.345
3,19700170610,6893,7.92,2.851
2,4100151532,237,7.9,4.297
2,22580,2878,7.82,3.259
7,27239,1733,7.81,1.801
5,27239,1733,7.81,1.801
2,27239,1733,7.81,1.801
4,27239,1733,7.81,1.801
7,19700177027,3464,7.8,2.636
1,28801,26838,7.78,3.058
1,28801,26838,7.78,3.058
1,28801,26838,7.78,3.058
1,28801,26838,7.78,3.058
7,28801,26838,7.78,3.058
7,19600166310,3130,7.73,4.84
1,21100261712,232,7.73,5.092
1,21100261712,232,7.73,5.092
1,12137,1797,7.71,5.139
1,12137,1797,7.71,5.139
8,12137,1797,7.71,5.139
1,21928,870,7.7,3.606
2,21928,870,7.7,3.606
2,21928,870,7.7,3.606
11,21928,870,7.7,3.606
5,16594,8241,7.66,5.516
17,16594,8241,7.66,5.516
1,100147317,588,7.64,4.98
2,100147317,588,7.64,4.98
2,100147317,588,7.64,4.98
1,22928,489,7.64,2.754
4,22928,489,7.64,2.754
1,14308,7237,7.63,6.035
1,36483,3664,7.62,3.507
4,36483,3664,7.62,3.507
3,36483,3664,7.62,3.507
2,36483,3664,7.62,3.507
18,19700171101,60500,7.6,2.524
17,21100203113,1346,7.6,3.253
3,21100203113,1346,7.6,3.253
6,21100203113,1346,7.6,3.253
4,23010,11162,7.56,2.393
4,12600154733,302,7.55,3.879
14,26556,218,7.52,2.049
3,26556,218,7.52,2.049
6,26556,218,7.52,2.049
2,20206,848,7.5,8.041
2,20206,848,7.5,8.041
3,20206,848,7.5,8.041
1,18795,15238,7.49,2.629
1,18795,15238,7.49,2.629
1,18795,15238,7.49,2.629
3,18795,15238,7.49,2.629
1,25491,15135,7.48,5.39
4,25491,15135,7.48,5.39
1,25491,15135,7.48,5.39
1,28371,13772,7.48,4.978
6,17924,2725,7.47,4.362
19,19700173215,42131,7.46,2.769
6,19700175052,1140,7.45,3.655
9,18797,2508,7.44,5.484
11,18797,2508,7.44,5.484
10,21268,2379,7.43,2.362
12,21268,2379,7.43,2.362
2,25297,10615,7.43,4.796
4,28800,446,7.43,3.142
1,22647,4164,7.42,4.227
4,23183,15996,7.42,6.897
14,17915,3781,7.41,1.343
7,14992,3553,7.39,5.72
5,20862,2425,7.37,4.414
3,20862,2425,7.37,4.414
2,20862,2425,7.37,4.414
6,20862,2425,7.37,4.414
12,21100248838,3231,7.36,5.301
3,21100248838,3231,7.36,5.301
15,21100248838,3231,7.36,5.301
18,21100248838,3231,7.36,5.301
5,20912,5002,7.33,2.465
19,13900,3777,7.31,5.164
19,13900,3777,7.31,5.164
4,14317,8425,7.31,5.472
3,24085,416,7.3,2.953
2,24085,416,7.3,2.953
2,24085,416,7.3,2.953
13,24085,416,7.3,2.953
12,21100217611,3095,7.28,4.733
2,21100217611,3095,7.28,4.733
3,21100284918,641,7.28,4.647
3,27165,466,7.28,9.095
5,26947,6758,7.27,2.441
7,26947,6758,7.27,2.441
18,15437,19455,7.22,2.092
3,15437,19455,7.22,2.092
6,15437,19455,7.22,2.092
10,15437,19455,7.22,2.092
2,15437,19455,7.22,2.092
1,5800207505,722,7.22,2.385
15,5800207505,722,7.22,2.385
19,19700174677,11758,7.21,8.595
5,13467,777,7.19,5.462
3,22330,572,7.15,5.644
1,22330,572,7.15,5.644
4,22330,572,7.15,5.644
4,21100274221,4960,7.14,2.906
2,21100274221,4960,7.14,2.906
7,21100274221,4960,7.14,2.906
9,21100274221,4960,7.14,2.906
6,21100274221,4960,7.14,2.906
16,21100274221,4960,7.14,2.906
5,4000151805,50,7.14,3.671
5,4000151805,50,7.14,3.671
20,17435,5963,7.13,6.57
